product_id,name,category,description,size,color,stock,price,image_url
PROD00001,Purple Classic Tee,T-Shirts,High-quality purple classic tee in size XS. Perfect for everyday wear.,XS,Purple,35,56.53,https://images.unsplash.com/photo-1500000000143?w=800&h=800&fit=crop
PROD00002,Purple Classic Tee,T-Shirts,High-quality purple classic tee in size XXL. Perfect for everyday wear.,XXL,Purple,69,26.52,https://images.unsplash.com/photo-1500000000433?w=800&h=800&fit=crop
PROD00003,White Classic Tee,T-Shirts,High-quality white classic tee in size XS. Perfect for everyday wear.,XS,White,27,54.21,https://images.unsplash.com/photo-1500000000617?w=800&h=800&fit=crop
PROD00004,Gray Classic Tee,T-Shirts,High-quality gray classic tee in size XL. Perfect for everyday wear.,XL,Gray,91,133.48,https://images.unsplash.com/photo-1500000000559?w=800&h=800&fit=crop
PROD00005,Brown Graphic Tee,T-Shirts,High-quality brown graphic tee in size S. Perfect for everyday wear.,S,Brown,75,62.86,https://images.unsplash.com/photo-1500000000891?w=800&h=800&fit=crop
PROD00006,Purple Classic Tee,T-Shirts,High-quality purple classic tee in size S. Perfect for everyday wear.,S,Purple,54,74.65,https://images.unsplash.com/photo-1500000000160?w=800&h=800&fit=crop
PROD00007,White V-Neck T-Shirt,T-Shirts,High-quality white v-neck t-shirt in size M. Perfect for everyday wear.,M,White,11,82.19,https://images.unsplash.com/photo-1500000000368?w=800&h=800&fit=crop
PROD00008,Red Polo Shirt,T-Shirts,High-quality red polo shirt in size XL. Perfect for everyday wear.,XL,Red,5,148.65,https://images.unsplash.com/photo-1500000000550?w=800&h=800&fit=crop
PROD00009,White Classic Tee,T-Shirts,High-quality white classic tee in size L. Perfect for everyday wear.,L,White,70,65.7,https://images.unsplash.com/photo-1500000000644?w=800&h=800&fit=crop
PROD00010,Pink Long Sleeve Tee,T-Shirts,High-quality pink long sleeve tee in size M. Perfect for everyday wear.,M,Pink,24,143.87,https://images.unsplash.com/photo-1500000000047?w=800&h=800&fit=crop
PROD00011,White V-Neck T-Shirt,T-Shirts,High-quality white v-neck t-shirt in size M. Perfect for everyday wear.,M,White,29,174.63,https://images.unsplash.com/photo-1500000000390?w=800&h=800&fit=crop
PROD00012,Yellow Polo Shirt,T-Shirts,High-quality yellow polo shirt in size L. Perfect for everyday wear.,L,Yellow,46,40.9,https://images.unsplash.com/photo-1500000000364?w=800&h=800&fit=crop
PROD00013,Red V-Neck T-Shirt,T-Shirts,High-quality red v-neck t-shirt in size XXL. Perfect for everyday wear.,XXL,Red,89,187.96,https://images.unsplash.com/photo-1500000000664?w=800&h=800&fit=crop
PROD00014,Yellow Classic Tee,T-Shirts,High-quality yellow classic tee in size XL. Perfect for everyday wear.,XL,Yellow,21,111.49,https://images.unsplash.com/photo-1500000000251?w=800&h=800&fit=crop
PROD00015,Green V-Neck T-Shirt,T-Shirts,High-quality green v-neck t-shirt in size L. Perfect for everyday wear.,L,Green,34,198.01,https://images.unsplash.com/photo-1500000000656?w=800&h=800&fit=crop
PROD00016,Yellow Long Sleeve Tee,T-Shirts,High-quality yellow long sleeve tee in size S. Perfect for everyday wear.,S,Yellow,41,170.14,https://images.unsplash.com/photo-1500000000795?w=800&h=800&fit=crop
PROD00017,Khaki Classic Tee,T-Shirts,High-quality khaki classic tee in size S. Perfect for everyday wear.,S,Khaki,4,162.96,https://images.unsplash.com/photo-1500000000411?w=800&h=800&fit=crop
PROD00018,Gray Polo Shirt,T-Shirts,High-quality gray polo shirt in size XS. Perfect for everyday wear.,XS,Gray,72,176.51,https://images.unsplash.com/photo-1500000000323?w=800&h=800&fit=crop
PROD00019,Brown V-Neck T-Shirt,T-Shirts,High-quality brown v-neck t-shirt in size XXL. Perfect for everyday wear.,XXL,Brown,50,178.09,https://images.unsplash.com/photo-1500000000659?w=800&h=800&fit=crop
PROD00020,Red Graphic Tee,T-Shirts,High-quality red graphic tee in size S. Perfect for everyday wear.,S,Red,17,56.86,https://images.unsplash.com/photo-1500000000575?w=800&h=800&fit=crop
PROD00021,Purple Long Sleeve Tee,T-Shirts,High-quality purple long sleeve tee in size M. Perfect for everyday wear.,M,Purple,74,91.4,https://images.unsplash.com/photo-1500000000598?w=800&h=800&fit=crop
PROD00022,Gray Graphic Tee,T-Shirts,High-quality gray graphic tee in size M. Perfect for everyday wear.,M,Gray,17,106.81,https://images.unsplash.com/photo-1500000000094?w=800&h=800&fit=crop
PROD00023,Navy Classic Tee,T-Shirts,High-quality navy classic tee in size XS. Perfect for everyday wear.,XS,Navy,80,40.4,https://images.unsplash.com/photo-1500000000697?w=800&h=800&fit=crop
PROD00024,White Graphic Tee,T-Shirts,High-quality white graphic tee in size XL. Perfect for everyday wear.,XL,White,49,82.51,https://images.unsplash.com/photo-1500000000480?w=800&h=800&fit=crop
PROD00025,Beige Long Sleeve Tee,T-Shirts,High-quality beige long sleeve tee in size M. Perfect for everyday wear.,M,Beige,1,139.25,https://images.unsplash.com/photo-1500000000118?w=800&h=800&fit=crop
PROD00026,Orange Relaxed Fit,Jeans,High-quality orange relaxed fit in size M. Perfect for everyday wear.,M,Orange,82,74.63,https://images.unsplash.com/photo-1500000000301?w=800&h=800&fit=crop
PROD00027,Brown Bootcut Jeans,Jeans,High-quality brown bootcut jeans in size S. Perfect for everyday wear.,S,Brown,0,191.23,https://images.unsplash.com/photo-1500000000897?w=800&h=800&fit=crop
PROD00028,Orange Skinny Jeans,Jeans,High-quality orange skinny jeans in size XL. Perfect for everyday wear.,XL,Orange,22,106.46,https://images.unsplash.com/photo-1500000000109?w=800&h=800&fit=crop
PROD00029,Beige Skinny Jeans,Jeans,High-quality beige skinny jeans in size XXL. Perfect for everyday wear.,XXL,Beige,77,47.79,https://images.unsplash.com/photo-1500000000383?w=800&h=800&fit=crop
PROD00030,Orange Straight Leg Jeans,Jeans,High-quality orange straight leg jeans in size XL. Perfect for everyday wear.,XL,Orange,67,184.51,https://images.unsplash.com/photo-1500000000614?w=800&h=800&fit=crop
PROD00031,Black Skinny Jeans,Jeans,High-quality black skinny jeans in size L. Perfect for everyday wear.,L,Black,14,186.53,https://images.unsplash.com/photo-1500000000900?w=800&h=800&fit=crop
PROD00032,Black Skinny Jeans,Jeans,High-quality black skinny jeans in size S. Perfect for everyday wear.,S,Black,30,176.82,https://images.unsplash.com/photo-1500000000970?w=800&h=800&fit=crop
PROD00033,Purple Slim Fit Jeans,Jeans,High-quality purple slim fit jeans in size XS. Perfect for everyday wear.,XS,Purple,62,165.04,https://images.unsplash.com/photo-1500000000779?w=800&h=800&fit=crop
PROD00034,Navy Relaxed Fit,Jeans,High-quality navy relaxed fit in size S. Perfect for everyday wear.,S,Navy,84,100.3,https://images.unsplash.com/photo-1500000000563?w=800&h=800&fit=crop
PROD00035,Beige Straight Leg Jeans,Jeans,High-quality beige straight leg jeans in size M. Perfect for everyday wear.,M,Beige,77,90.4,https://images.unsplash.com/photo-1500000000217?w=800&h=800&fit=crop
PROD00036,Purple Relaxed Fit,Jeans,High-quality purple relaxed fit in size XXL. Perfect for everyday wear.,XXL,Purple,25,145.46,https://images.unsplash.com/photo-1500000000409?w=800&h=800&fit=crop
